group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
schnorr,verify,32,,,7268285542.0,ns,498
schnorr,verify,32,,,14457222011.0,ns,996
schnorr,verify,32,,,21738027283.0,ns,1494
schnorr,verify,32,,,29111400983.0,ns,1992
schnorr,verify,32,,,35678652996.0,ns,2490
schnorr,verify,32,,,41515655990.0,ns,2988
schnorr,verify,32,,,48023838058.0,ns,3486
schnorr,verify,32,,,54647646283.0,ns,3984
schnorr,verify,32,,,61741844677.0,ns,4482
schnorr,verify,32,,,68868286853.0,ns,4980
